iter	Passed	Remaining
917	14382	1284
918	14402	1269
919	14415	1253
920	14431	1237
921	14448	1222
922	14462	1206
923	14490	1191
924	14507	1176
925	14520	1160
926	14530	1144
927	14541	1128
928	14562	1112
929	14587	1097
930	14605	1082
931	14617	1066
932	14632	1050
933	14648	1035
934	14659	1019
935	14671	1003
936	14685	987
937	14701	971
938	14713	955
939	14724	939
940	14738	924
941	14750	908
942	14762	892
943	14785	877
944	14801	861
945	14816	845
946	14827	829
947	14837	813
948	14853	798
949	14865	782
950	14880	766
951	14891	750
952	14902	734
953	14916	719
954	14933	703
955	14946	687
956	14959	672
957	14983	656
958	15007	641
959	15023	625
960	15038	610
961	15051	594
962	15067	578
963	15077	563
964	15097	547
965	15110	531
966	15121	516
967	15133	500
968	15147	484
969	15163	468
970	15174	453
971	15202	437
972	15222	422
973	15240	406
974	15257	391
975	15271	375
976	15287	359
977	15299	344
978	15311	328
979	15325	312
980	15339	297
981	15355	281
982	15369	265
983	15382	250
984	15392	234
985	15419	218
986	15459	203
987	15485	188
988	15504	172
989	15520	156
990	15556	141
991	15583	125
992	15600	109
993	15629	94
994	15656	78
995	15683	62
996	15706	47
997	15743	31
998	15762	15
999	15777	0
